,Immune,Stroma,Epithelial,Endothelial,disease,Unknown
Banovich_Kropski_2020,63392,3898,37109,17495,normal,
Barbry_Leroy_2020,4044,785,67208,2450,normal,
Jain_Misharin_2021_10Xv1,623,19,11780,0,normal,
Jain_Misharin_2021_10Xv2,1997,34,31095,9,normal,
Krasnow_2020,29943,5038,9395,16606,normal,
Lafyatis_Rojas_2019_10Xv1,2481,30,321,89,normal,
Lafyatis_Rojas_2019_10Xv2,15959,823,2322,2156,normal,
Meyer_2019,28062,3169,3285,1038,normal,
Misharin_2021,35116,9127,16064,4536,normal,
Misharin_Budinger_2018,16853,186,23479,702,normal,
Nawijn_2021,22865,1441,43397,2699,normal,
Seibold_2020_10Xv2,11,0,12110,6,normal,
Seibold_2020_10Xv3,22,0,21442,2,normal,
Teichmann_Meyer_2019,8128,667,3058,378,normal,
Kaminski_2020,62677,1058,2884,1153,COPD,171.0
Morrisey_2022,12263,10972,20036,14914,COPD,
Yamamoto_2022,9650,624,1745,1738,COPD,
Banovich_Kropski_2020,25672,2982,24850,4057,IPF,107.0
Kaminski_2020,121546,5571,12964,4104,IPF,219.0
Misharin_Budinger_2018,10638,253,3968,547,IPF,111.0
Schiller_2020,10004,3123,1935,2219,IPF,245.0
Sheppard_2020,5674,24736,836,2263,IPF,308.0
Budinger_2020,42741,21822,16733,9498,COVID-19,1186.0
Lambrechts_2021,24267,5,8553,0,COVID-19,418.0
Regev_2021_Cryo,1182,1038,1058,1072,COVID-19,16.0
Regev_2021_Fresh,249,1214,158,629,COVID-19,18.0
Regev_2021_Nuclei,30724,18807,21389,17583,COVID-19,923.0
Wunderink_2021_cryo,50110,1,1529,0,COVID-19,49.0
Wunderink_2021_fresh,24816,1,611,0,COVID-19,29.0
Zhang_2021,41157,0,2049,0,COVID-19,126.0
Peer_Massague_2020,19242,667,1613,217,cancer,56.0
Thienpont_2018_10Xv1,3440,174,549,62,cancer,47.0
Thienpont_2018_10Xv2,67142,2166,14783,3534,cancer,1678.0
Lee_2020,34710,1684,7143,659,cancer,
Klauschen_2021,43835,801,14504,717,cancer,
Levantini_2021,27351,931,5261,602,cancer,
Klein_2019,20235,630,3203,375,cancer,
Lambrechts_2020,18552,968,7078,664,cancer,
